,,Year,Month,Day,Hour,Minute,Second,x,y,theta,Record,U (m s^-1),V (m s^-1),W (m s^-1),TSonic (K),RH (%),T_HMP60 (C)
p1,444,2020.0,9.0,29.0,11.0,43.0,11.2,2.8,0.7,0.0,3230684.0,-0.008,-0.002,-0.006,297.6,43.09,23.28
p1,445,2020.0,9.0,29.0,11.0,43.0,11.3,2.8,0.7,0.0,3230685.0,-0.008,-0.002,-0.006,297.6,43.08,23.28
p1,446,2020.0,9.0,29.0,11.0,43.0,11.4,2.8,0.7,0.0,3230686.0,-0.008,-0.002,-0.006,297.6,43.08,23.28
p1,447,2020.0,9.0,29.0,11.0,43.0,11.5,2.8,0.7,0.0,3230687.0,-0.009000000000000001,-0.002,-0.006,297.6,43.08,23.28
p1,448,2020.0,9.0,29.0,11.0,43.0,11.6,2.8,0.7,0.0,3230688.0,0.012,-0.040999999999999995,0.024,297.6,43.08,23.28
p1,449,2020.0,9.0,29.0,11.0,43.0,11.7,2.8,0.7,0.0,3230689.0,0.012,-0.040999999999999995,0.024,297.6,43.08,23.28
p1,450,2020.0,9.0,29.0,11.0,43.0,11.8,2.8,0.7,0.0,3230690.0,0.012,-0.040999999999999995,0.024,297.6,43.08,23.28
p1,451,2020.0,9.0,29.0,11.0,43.0,11.9,2.8,0.7,0.0,3230691.0,0.012,-0.040999999999999995,0.025,297.6,43.08,23.28
p1,452,2020.0,9.0,29.0,11.0,43.0,12.0,2.8,0.7,0.0,3230692.0,0.012,-0.040999999999999995,0.024,297.6,43.09,23.28
p1,453,2020.0,9.0,29.0,11.0,43.0,12.1,2.8,0.7,0.0,3230693.0,-0.027999999999999997,-0.002,0.025,297.5,43.11,23.28
p1,454,2020.0,9.0,29.0,11.0,43.0,12.2,2.8,0.7,0.0,3230694.0,-0.027999999999999997,-0.002,0.025,297.5,43.13,23.28
p1,455,2020.0,9.0,29.0,11.0,43.0,12.3,2.8,0.7,0.0,3230695.0,-0.027999999999999997,-0.002,0.025,297.5,43.14,23.28
p1,456,2020.0,9.0,29.0,11.0,43.0,12.4,2.8,0.7,0.0,3230696.0,-0.027999999999999997,-0.003,0.024,297.5,43.15,23.28
p1,457,2020.0,9.0,29.0,11.0,43.0,12.5,2.8,0.7,0.0,3230697.0,-0.027999999999999997,-0.002,0.024,297.5,43.15,23.28
p1,458,2020.0,9.0,29.0,11.0,43.0,12.6,2.8,0.7,0.0,3230698.0,0.012,-0.040999999999999995,0.025,297.5,43.16,23.28
p1,459,2020.0,9.0,29.0,11.0,43.0,12.7,2.8,0.7,0.0,3230699.0,0.012,-0.040999999999999995,0.024,297.5,43.16,23.28
p1,460,2020.0,9.0,29.0,11.0,43.0,12.8,2.8,0.7,0.0,3230700.0,0.012,-0.040999999999999995,0.024,297.5,43.16,23.28
p1,461,2020.0,9.0,29.0,11.0,43.0,12.9,2.8,0.7,0.0,3230701.0,0.012,-0.040999999999999995,0.024,297.5,43.16,23.28
p1,462,2020.0,9.0,29.0,11.0,43.0,13.0,2.8,0.7,0.0,3230702.0,0.011000000000000001,-0.042,0.024,297.5,43.16,23.28
p1,463,2020.0,9.0,29.0,11.0,43.0,13.1,2.8,0.7,0.0,3230703.0,-0.008,-0.002,-0.006,297.6,43.16,23.28
